Timestamp,TestType,Operation,ElapsedMilliseconds,Result,Details
"2026-04-28 16:56:09","Security","Login attempt",0,"Rejected","InvalidAttemptCount=1"
"2026-04-28 16:56:09","Security","Login attempt",0,"Rejected","InvalidAttemptCount=2"
"2026-04-28 16:56:09","Security","Login attempt",0,"Rejected","InvalidAttemptCount=3"
"2026-04-28 16:56:13","Performance","Generate report",4005,"Report generated","ReportType=Student Summary Report; StudentIdProvided=True"
"2026-04-28 16:56:13","Reliability","Save student",0,"Completed","Run=1; StudentIdProvided=True"
"2026-04-28 16:56:13","Reliability","Clear student form",0,"Completed","Run=1; Student form cleared"
"2026-04-28 16:56:13","Reliability","Enroll student",0,"Completed","Run=1; StudentIdProvided=True; CourseSelected=True"
"2026-04-28 16:56:13","Reliability","Clear enrollment form",0,"Completed","Run=1; Enrollment form cleared"
"2026-04-28 16:56:13","Reliability","Calculate marks",0,"Completed","Run=1; StudentIdProvided=True; ResultStatus=PASS"
"2026-04-28 16:56:13","Reliability","Clear marks form",0,"Completed","Run=1; Marks form cleared"
"2026-04-28 16:56:13","Reliability","Clear report form",0,"Completed","Run=1; Report form cleared"
"2026-04-28 16:56:13","Reliability","Save student",0,"Completed","Run=2; StudentIdProvided=True"
"2026-04-28 16:56:13","Reliability","Clear student form",0,"Completed","Run=2; Student form cleared"
"2026-04-28 16:56:13","Reliability","Enroll student",0,"Completed","Run=2; StudentIdProvided=True; CourseSelected=True"
"2026-04-28 16:56:13","Reliability","Clear enrollment form",0,"Completed","Run=2; Enrollment form cleared"
"2026-04-28 16:56:13","Reliability","Calculate marks",0,"Completed","Run=2; StudentIdProvided=True; ResultStatus=PASS"
"2026-04-28 16:56:13","Reliability","Clear marks form",0,"Completed","Run=2; Marks form cleared"
"2026-04-28 16:56:13","Reliability","Clear report form",0,"Completed","Run=2; Report form cleared"
"2026-04-28 16:56:13","Reliability","Save student",0,"Completed","Run=3; StudentIdProvided=True"
"2026-04-28 16:56:13","Reliability","Clear student form",0,"Completed","Run=3; Student form cleared"
"2026-04-28 16:56:13","Reliability","Enroll student",0,"Completed","Run=3; StudentIdProvided=True; CourseSelected=True"
"2026-04-28 16:56:13","Reliability","Clear enrollment form",0,"Completed","Run=3; Enrollment form cleared"
"2026-04-28 16:56:13","Reliability","Calculate marks",0,"Completed","Run=3; StudentIdProvided=True; ResultStatus=PASS"
"2026-04-28 16:56:13","Reliability","Clear marks form",0,"Completed","Run=3; Marks form cleared"
"2026-04-28 16:56:13","Reliability","Clear report form",0,"Completed","Run=3; Report form cleared"
"2026-04-28 16:56:13","Usability","Student Registration to Dashboard",0,"Steps=1","Back button clicked"
"2026-04-28 16:56:13","Usability","Course Enrollment to Dashboard",0,"Steps=1","Back button clicked"
"2026-04-28 16:56:13","Usability","Marks Capture to Dashboard",0,"Steps=1","Back button clicked"
"2026-04-28 16:56:13","Usability","Reports to Dashboard",0,"Steps=1","Back button clicked"
